election_date,anc,name
1994-11-08,1E01,Steve Mudd
1994-11-08,1E02,Linda M. Couch
1994-11-08,1E03,Greg Nicklas
1996-11-05,1E01,Omar Zavala
1996-11-05,1E02,Jacques Rondeau
1996-11-05,1E03,Keenan Keller
1998-11-03,1E01,Lester Cuffie
1998-11-03,1E02,Jacques Rondeau
1998-11-03,1E03,Wes Boatwright
2000-11-07,1E01,Chris Shaheen
2000-11-07,1E02,Michael T. Sims
2000-11-07,1E03,Gwen M. Davidow
1979-11-06,1E04,No candidate
1979-11-06,1E05,No candidate
1979-11-06,1E06,No candidate
1981-11-03,1E04,Joseph L. Hazward
1981-11-03,1E05,No candidate
1981-11-03,1E06,No candidate
1984-11-06,1E04,No candidate
1984-11-06,1E05,Stanley Allen
1984-11-06,1E06,No candidate
1986-11-04,1E04,Alice Kelly
1986-11-04,1E05,Stanley Allen
1986-11-04,1E06,No candidate
1988-11-08,1E04,Alice Kelly
1988-11-08,1E05,Amiel Summers
1988-11-08,1E06,No candidate
1990-11-06,1E04,Alice Kelly
1990-11-06,1E05,Stanley Allen
1990-11-06,1E06,No candidate
1992-11-03,1E04,"M. ""Stretch: McGovern"
1992-11-03,1E05,Stanley Allen
1992-11-03,1E06,Robert H. Fleming
1994-11-08,1E04,Joseph Dougherty
1994-11-08,1E05,Stanley Allen
1994-11-08,1E06,Robert H. Fleming
1996-11-05,1E04,Bonnie Cain
1996-11-05,1E05,Polly Donaldson
1996-11-05,1E06,Robert H. Fleming
1998-11-03,1E04,Michael Chelius
1998-11-03,1E05,Aminyah Muhammad
1998-11-03,1E06,Bill Mosley
2000-11-07,1E04,Laurie Collins
2000-11-07,1E05,James N. Whitman
2000-11-07,1E06,Desmond Dodd
1979-11-06,2A01,No candidate
1979-11-06,2A02,"Louis T. Rigdon, II"
1979-11-06,2A03,Maria Tyler
1981-11-03,2A01,Jonathan H. Norwick
1981-11-03,2A02,"Louis T. Rigdon, II"
1981-11-03,2A03,Maria Tyler
1984-11-06,2A01,Ralph A. Rosenbaum
